Timestamp,Raw Reading
2017-08-21 11:50:55,37.13 Degrees C: 98.82 Degrees F:
2017-08-21 11:50:57,37.13 Degrees C: 98.82 Degrees F:
2017-08-21 11:50:59,37.19 Degrees C: 98.94 Degrees F:
2017-08-21 11:51:00,37.19 Degrees C: 98.94 Degrees F:
2017-08-21 11:51:02,37.25 Degrees C: 99.05 Degrees F:
2017-08-21 11:51:04,37.25 Degrees C: 99.05 Degrees F:
2017-08-21 11:51:06,37.31 Degrees C: 99.16 Degrees F:
2017-08-21 11:51:07,37.38 Degrees C: 99.27 Degrees F:
2017-08-21 11:51:09,37.38 Degrees C: 99.27 Degrees F:
2017-08-21 11:51:11,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 11:51:13,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 11:51:15,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:51:16,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:51:18,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:51:20,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:51:22,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:51:23,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:25,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:27,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:29,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:31,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:32,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:34,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:36,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:38,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:51:39,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:41,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:51:43,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:45,37.69 Degrees C: 99.84 Degrees F:
2017-08-21 11:51:47,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:51:48,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:51:50,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:51:52,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:51:54,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:51:55,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:51:57,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 11:51:59,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 11:52:01,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 11:52:03,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 11:52:04,37.44 Degrees C: 99.39 Degrees F:
2017-08-21 11:52:06,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 11:52:08,37.50 Degrees C: 99.50 Degrees F:
2017-08-21 11:52:10,37.56 Degrees C: 99.61 Degrees F:
2017-08-21 11:52:11,37.63 Degrees C: 99.72 Degrees F:
2017-08-21 11:52:13,37.75 Degrees C: 99.95 Degrees F:
2017-08-21 11:52:15,37.81 Degrees C: 100.06 Degrees F:
2017-08-21 11:52:17,37.94 Degrees C: 100.29 Degrees F:
2017-08-21 11:52:19,38.00 Degrees C: 100.40 Degrees F:
2017-08-21 11:52:20,38.13 Degrees C: 100.62 Degrees F:
2017-08-21 11:52:22,38.25 Degrees C: 100.85 Degrees F:
2017-08-21 11:52:24,38.31 Degrees C: 100.96 Degrees F:
2017-08-21 11:52:26,38.38 Degrees C: 101.07 Degrees F:
2017-08-21 11:52:27,38.50 Degrees C: 101.30 Degrees F:
